Serial Number:20397886 --

Date Time - GMT -07:00,"Temp, (*F)",Host Connect,Stopped,EOF,
2018-09-16 23:59:59,65.97, , , ,
2018-09-17 00:00:59,65.97, , , ,
2018-09-17 00:01:59,66.05, , , ,
2018-09-17 00:02:59,65.89, , , ,
2018-09-17 00:03:59,65.97, , , ,
2018-09-17 00:04:59,65.97, , , ,
2018-09-17 00:05:59,65.97, , , ,
2018-09-17 00:06:59,65.89, , , ,
2018-09-17 00:07:59,65.89, , , ,
2018-09-17 00:08:59,65.82, , , ,
2018-09-17 00:09:59,65.89, , , ,
2018-09-17 00:10:59,65.89, , , ,
2018-09-17 00:11:59,65.82, , , ,
2018-09-17 00:12:59,65.89, , , ,
2018-09-17 00:13:59,65.82, , , ,
2018-09-17 00:14:59,65.82, , , ,
2018-09-17 00:15:59,65.82, , , ,
2018-09-17 00:16:59,65.74, , , ,
2018-09-17 00:17:59,65.74, , , ,
2018-09-17 00:18:59,65.74, , , ,
2018-09-17 00:19:59,65.74, , , ,
2018-09-17 00:20:59,65.74, , , ,
2018-09-17 00:21:59,65.74, , , ,
2018-09-17 00:22:59,65.66, , , ,
2018-09-17 00:23:59,65.74, , , ,
2018-09-17 00:24:59,65.66, , , ,
2018-09-17 00:25:59,65.66, , , ,
2018-09-17 00:26:59,65.66, , , ,
2018-09-17 00:27:59,65.74, , , ,
2018-09-17 00:28:59,65.82, , , ,
2018-09-17 00:29:59,65.89, , , ,
2018-09-17 00:30:59,65.97, , , ,
2018-09-17 00:31:59,66.13, , , ,
2018-09-17 00:32:59,66.20, , , ,
2018-09-17 00:33:59,66.44, , , ,
2018-09-17 00:34:59,66.59, , , ,
2018-09-17 00:35:59,66.67, , , ,
2018-09-17 00:36:59,66.82, , , ,
2018-09-17 00:37:59,66.98, , , ,
2018-09-17 00:38:59,67.05, , , ,
2018-09-17 00:39:59,66.98, , , ,
2018-09-17 00:40:59,67.13, , , ,
2018-09-17 00:41:59,67.21, , , ,
2018-09-17 00:42:59,67.28, , , ,
2018-09-17 00:43:59,67.44, , , ,
2018-09-17 00:44:59,67.52, , , ,
2018-09-17 00:45:59,67.75, , , ,
2018-09-17 00:46:59,67.90, , , ,
2018-09-17 00:47:59,68.06, , , ,
2018-09-17 00:48:59,68.37, , , ,
2018-09-17 00:49:59,68.52, , , ,
2018-09-17 00:50:59,68.67, , , ,
2018-09-17 00:51:59,68.83, , , ,
2018-09-17 00:52:59,69.06, , , ,
2018-09-17 00:53:59,69.06, , , ,
2018-09-17 00:54:59,69.22, , , ,
2018-09-17 00:55:59,69.45, , , ,
2018-09-17 00:56:59,69.52, , , ,
2018-09-17 00:57:59,69.68, , , ,
2018-09-17 00:58:59,69.76, , , ,
2018-09-17 00:59:59,69.76, , , ,
2018-09-17 01:00:59,69.83, , , ,
2018-09-17 01:01:59,69.91, , , ,
2018-09-17 01:02:59,69.91, , , ,
2018-09-17 01:03:59,69.91, , , ,
2018-09-17 01:04:59,69.99, , , ,
2018-09-17 01:05:59,69.99, , , ,
2018-09-17 01:06:59,69.99, , , ,
2018-09-17 01:07:59,70.14, , , ,
2018-09-17 01:08:59,69.99, , , ,
2018-09-17 01:09:59,69.99, , , ,
2018-09-17 01:10:59,69.99, , , ,
2018-09-17 01:11:59,69.99, , , ,
2018-09-17 01:12:59,69.99, , , ,
2018-09-17 01:13:59,70.06, , , ,
2018-09-17 01:14:59,69.99, , , ,
2018-09-17 01:15:59,69.91, , , ,
2018-09-17 01:16:59,69.83, , , ,
2018-09-17 01:17:59,69.76, , , ,
2018-09-17 01:18:59,69.60, , , ,
2018-09-17 01:19:59,69.60, , , ,
2018-09-17 01:20:59,69.45, , , ,
2018-09-17 01:21:59,69.45, , , ,
2018-09-17 01:22:59,69.37, , , ,
2018-09-17 01:23:59,69.29, , , ,
2018-09-17 01:24:59,69.29, , , ,
2018-09-17 01:25:59,69.14, , , ,
2018-09-17 01:26:59,69.14, , , ,
2018-09-17 01:27:59,68.98, , , ,
2018-09-17 01:28:59,68.98, , , ,
2018-09-17 01:29:59,68.91, , , ,
2018-09-17 01:30:59,68.83, , , ,
2018-09-17 01:31:59,68.75, , , ,
2018-09-17 01:32:59,68.67, , , ,
2018-09-17 01:33:59,68.67, , , ,
2018-09-17 01:34:59,68.75, , , ,
2018-09-17 01:35:59,68.67, , , ,
2018-09-17 01:36:59,68.60, , , ,
2018-09-17 01:37:59,68.67, , , ,
2018-09-17 01:38:59,68.52, , , ,
2018-09-17 01:39:59,68.44, , , ,
2018-09-17 01:40:59,68.52, , , ,
2018-09-17 01:41:59,68.44, , , ,
2018-09-17 01:42:59,68.44, , , ,
2018-09-17 01:43:59,68.44, , , ,
2018-09-17 01:44:59,68.60, , , ,
2018-09-17 01:45:59,68.44, , , ,
2018-09-17 01:46:59,68.52, , , ,
2018-09-17 01:47:59,68.52, , , ,
2018-09-17 01:48:59,68.52, , , ,
2018-09-17 01:49:59,68.52, , , ,
2018-09-17 01:50:59,68.44, , , ,
2018-09-17 01:51:59,68.37, , , ,
2018-09-17 01:52:59,68.37, , , ,
2018-09-17 01:53:59,68.29, , , ,
2018-09-17 01:54:59,68.37, , , ,
2018-09-17 01:55:59,68.37, , , ,
2018-09-17 01:56:59,68.29, , , ,
2018-09-17 01:57:59,68.21, , , ,
2018-09-17 01:58:59,68.21, , , ,
2018-09-17 01:59:59,68.13, , , ,
2018-09-17 02:00:59,68.06, , , ,
2018-09-17 02:01:59,67.98, , , ,
2018-09-17 02:02:59,67.83, , , ,
2018-09-17 02:03:59,67.83, , , ,
2018-09-17 02:04:59,67.59, , , ,
2018-09-17 02:05:59,67.59, , , ,
2018-09-17 02:06:59,67.44, , , ,
2018-09-17 02:07:59,67.28, , , ,
2018-09-17 02:08:59,67.21, , , ,
2018-09-17 02:09:59,67.13, , , ,
2018-09-17 02:10:59,66.90, , , ,
2018-09-17 02:11:59,66.90, , , ,
2018-09-17 02:12:59,66.67, , , ,
2018-09-17 02:13:59,66.51, , , ,
2018-09-17 02:14:59,66.36, , , ,
2018-09-17 02:15:59,66.20, , , ,
2018-09-17 02:16:59,66.13, , , ,
2018-09-17 02:17:59,65.89, , , ,
2018-09-17 02:18:59,65.74, , , ,
2018-09-17 02:19:59,65.66, , , ,
2018-09-17 02:20:59,65.59, , , ,
2018-09-17 02:21:59,65.43, , , ,
2018-09-17 02:22:59,65.28, , , ,
2018-09-17 02:23:59,65.20, , , ,
2018-09-17 02:24:59,65.12, , , ,
2018-09-17 02:25:59,64.97, , , ,
2018-09-17 02:26:59,64.89, , , ,
2018-09-17 02:27:59,64.81, , , ,
2018-09-17 02:28:59,64.74, , , ,
2018-09-17 02:29:59,64.58, , , ,
2018-09-17 02:30:59,64.50, , , ,
2018-09-17 02:31:59,64.43, , , ,
2018-09-17 02:32:59,64.27, , , ,
2018-09-17 02:33:59,64.43, , , ,
2018-09-17 02:34:59,64.27, , , ,
2018-09-17 02:35:59,64.12, , , ,
2018-09-17 02:36:59,64.12, , , ,
2018-09-17 02:37:59,64.04, , , ,
2018-09-17 02:38:59,64.04, , , ,
2018-09-17 02:39:59,63.96, , , ,
2018-09-17 02:40:59,63.96, , , ,
2018-09-17 02:41:59,63.89, , , ,
2018-09-17 02:42:59,63.81, , , ,
2018-09-17 02:43:59,63.73, , , ,
2018-09-17 02:44:59,63.73, , , ,
2018-09-17 02:45:59,63.66, , , ,
2018-09-17 02:46:59,63.66, , , ,
2018-09-17 02:47:59,63.58, , , ,
2018-09-17 02:48:59,63.50, , , ,
2018-09-17 02:49:59,63.66, , , ,
2018-09-17 02:50:59,63.42, , , ,
2018-09-17 02:51:59,63.42, , , ,
2018-09-17 02:52:59,63.42, , , ,
2018-09-17 02:53:59,63.42, , , ,
2018-09-17 02:54:59,63.42, , , ,
2018-09-17 02:55:59,63.42, , , ,
2018-09-17 02:56:59,63.27, , , ,
2018-09-17 02:57:59,63.35, , , ,
2018-09-17 02:58:59,63.42, , , ,
2018-09-17 02:59:59,63.35, , , ,
2018-09-17 03:00:59,63.35, , , ,
2018-09-17 03:01:59,63.27, , , ,
2018-09-17 03:02:59,63.27, , , ,
2018-09-17 03:03:59,63.27, , , ,
2018-09-17 03:04:59,63.19, , , ,
2018-09-17 03:05:59,63.19, , , ,
2018-09-17 03:06:59,63.19, , , ,
2018-09-17 03:07:59,63.19, , , ,
2018-09-17 03:08:59,63.11, , , ,
2018-09-17 03:09:59,63.11, , , ,
2018-09-17 03:10:59,63.19, , , ,
2018-09-17 03:11:59,63.04, , , ,
2018-09-17 03:12:59,63.04, , , ,
2018-09-17 03:13:59,62.96, , , ,
2018-09-17 03:14:59,62.96, , , ,
2018-09-17 03:15:59,63.04, , , ,
2018-09-17 03:16:59,62.88, , , ,
2018-09-17 03:17:59,63.04, , , ,
2018-09-17 03:18:59,62.88, , , ,
2018-09-17 03:19:59,62.88, , , ,
2018-09-17 03:20:59,62.81, , , ,
2018-09-17 03:21:59,62.88, , , ,
2018-09-17 03:22:59,62.81, , , ,
2018-09-17 03:23:59,62.81, , , ,
2018-09-17 03:24:59,62.65, , , ,
2018-09-17 03:25:59,62.73, , , ,
2018-09-17 03:26:59,62.73, , , ,
2018-09-17 03:27:59,62.73, , , ,
2018-09-17 03:28:59,62.65, , , ,
2018-09-17 03:29:59,62.73, , , ,
2018-09-17 03:30:59,62.65, , , ,
2018-09-17 03:31:59,62.65, , , ,
2018-09-17 03:32:59,62.65, , , ,
2018-09-17 03:33:59,62.65, , , ,
2018-09-17 03:34:59,62.65, , , ,
2018-09-17 03:35:59,62.65, , , ,
2018-09-17 03:36:59,62.65, , , ,
2018-09-17 03:37:59,62.65, , , ,
2018-09-17 03:38:59,62.65, , , ,
2018-09-17 03:39:59,62.73, , , ,
2018-09-17 03:40:59,62.65, , , ,
2018-09-17 03:41:59,62.73, , , ,
2018-09-17 03:42:59,62.81, , , ,
2018-09-17 03:43:59,62.73, , , ,
2018-09-17 03:44:59,62.81, , , ,
2018-09-17 03:45:59,62.81, , , ,
2018-09-17 03:46:59,62.81, , , ,
2018-09-17 03:47:59,62.88, , , ,
2018-09-17 03:48:59,62.88, , , ,
2018-09-17 03:49:59,62.88, , , ,
2018-09-17 03:50:59,62.81, , , ,
2018-09-17 03:51:59,62.73, , , ,
2018-09-17 03:52:59,62.81, , , ,
2018-09-17 03:53:59,62.73, , , ,
2018-09-17 03:54:59,62.65, , , ,
2018-09-17 03:55:59,62.65, , , ,
2018-09-17 03:56:59,62.73, , , ,
2018-09-17 03:57:59,62.65, , , ,
2018-09-17 03:58:59,62.57, , , ,
2018-09-17 03:59:59,62.50, , , ,
2018-09-17 04:00:59,62.50, , , ,
2018-09-17 04:01:59,62.42, , , ,
2018-09-17 04:02:59,62.42, , , ,
2018-09-17 04:03:59,62.19, , , ,
2018-09-17 04:04:59,62.19, , , ,
2018-09-17 04:05:59,62.11, , , ,
2018-09-17 04:06:59,62.11, , , ,
2018-09-17 04:07:59,61.88, , , ,
2018-09-17 04:08:59,61.88, , , ,
2018-09-17 04:09:59,61.88, , , ,
2018-09-17 04:10:59,61.80, , , ,
2018-09-17 04:11:59,61.72, , , ,
2018-09-17 04:12:59,61.72, , , ,
2018-09-17 04:13:59,61.65, , , ,
2018-09-17 04:14:59,61.49, , , ,
2018-09-17 04:15:59,61.42, , , ,
2018-09-17 04:16:59,61.49, , , ,
2018-09-17 04:17:59,61.34, , , ,
2018-09-17 04:18:59,61.18, , , ,
2018-09-17 04:19:59,61.18, , , ,
2018-09-17 04:20:59,61.18, , , ,
2018-09-17 04:21:59,61.11, , , ,
2018-09-17 04:22:59,61.03, , , ,
2018-09-17 04:23:59,60.95, , , ,
2018-09-17 04:24:59,60.88, , , ,
2018-09-17 04:25:59,60.88, , , ,
2018-09-17 04:26:59,60.80, , , ,
2018-09-17 04:27:59,60.72, , , ,
2018-09-17 04:28:59,60.64, , , ,
2018-09-17 04:29:59,60.57, , , ,
2018-09-17 04:30:59,60.49, , , ,
2018-09-17 04:31:59,60.49, , , ,
2018-09-17 04:32:59,60.41, , , ,
2018-09-17 04:33:59,60.41, , , ,
2018-09-17 04:34:59,60.34, , , ,
2018-09-17 04:35:59,60.18, , , ,
2018-09-17 04:36:59,60.18, , , ,
2018-09-17 04:37:59,60.18, , , ,
2018-09-17 04:38:59,60.10, , , ,
2018-09-17 04:39:59,60.10, , , ,
2018-09-17 04:40:59,59.95, , , ,
2018-09-17 04:41:59,60.03, , , ,
2018-09-17 04:42:59,59.95, , , ,
2018-09-17 04:43:59,60.03, , , ,
2018-09-17 04:44:59,59.95, , , ,
2018-09-17 04:45:59,59.72, , , ,
2018-09-17 04:46:59,59.79, , , ,
2018-09-17 04:47:59,59.79, , , ,
2018-09-17 04:48:59,59.72, , , ,
2018-09-17 04:49:59,59.64, , , ,
2018-09-17 04:50:59,59.56, , , ,
2018-09-17 04:51:59,59.56, , , ,
2018-09-17 04:52:59,59.49, , , ,
2018-09-17 04:53:59,59.41, , , ,
2018-09-17 04:54:59,59.49, , , ,
2018-09-17 04:55:59,59.49, , , ,
2018-09-17 04:56:59,59.33, , , ,
2018-09-17 04:57:59,59.33, , , ,
2018-09-17 04:58:59,59.33, , , ,
2018-09-17 04:59:59,59.18, , , ,
2018-09-17 05:00:59,59.25, , , ,
2018-09-17 05:01:59,59.18, , , ,
2018-09-17 05:02:59,59.18, , , ,
2018-09-17 05:03:59,59.10, , , ,
2018-09-17 05:04:59,59.02, , , ,
2018-09-17 05:05:59,58.95, , , ,
2018-09-17 05:06:59,58.95, , , ,
2018-09-17 05:07:59,58.95, , , ,
2018-09-17 05:08:59,58.95, , , ,
2018-09-17 05:09:59,58.95, , , ,
2018-09-17 05:10:59,58.87, , , ,
2018-09-17 05:11:59,58.79, , , ,
2018-09-17 05:12:59,58.71, , , ,
2018-09-17 05:13:59,58.71, , , ,
2018-09-17 05:14:59,58.71, , , ,
2018-09-17 05:15:59,58.64, , , ,
2018-09-17 05:16:59,58.56, , , ,
2018-09-17 05:17:59,58.56, , , ,
2018-09-17 05:18:59,58.48, , , ,
2018-09-17 05:19:59,58.48, , , ,
2018-09-17 05:20:59,58.40, , , ,
2018-09-17 05:21:59,58.40, , , ,
2018-09-17 05:22:59,58.40, , , ,
2018-09-17 05:23:59,58.33, , , ,
2018-09-17 05:24:59,58.33, , , ,
2018-09-17 05:25:59,58.25, , , ,
2018-09-17 05:26:59,58.17, , , ,
2018-09-17 05:27:59,58.25, , , ,
2018-09-17 05:28:59,58.10, , , ,
2018-09-17 05:29:59,58.10, , , ,
2018-09-17 05:30:59,58.10, , , ,
2018-09-17 05:31:59,58.02, , , ,
2018-09-17 05:32:59,58.02, , , ,
2018-09-17 05:33:59,57.94, , , ,
2018-09-17 05:34:59,57.94, , , ,
2018-09-17 05:35:59,58.02, , , ,
2018-09-17 05:36:59,58.10, , , ,
2018-09-17 05:37:59,58.17, , , ,
2018-09-17 05:38:59,58.25, , , ,
2018-09-17 05:39:59,58.40, , , ,
2018-09-17 05:40:59,58.56, , , ,
2018-09-17 05:41:59,58.64, , , ,
2018-09-17 05:42:59,58.87, , , ,
2018-09-17 05:43:59,59.10, , , ,
2018-09-17 05:44:59,59.33, , , ,
2018-09-17 05:45:59,59.56, , , ,
2018-09-17 05:46:59,59.64, , , ,
2018-09-17 05:47:59,59.72, , , ,
2018-09-17 05:48:59,59.87, , , ,
2018-09-17 05:49:59,59.87, , , ,
2018-09-17 05:50:59,59.95, , , ,
2018-09-17 05:51:59,59.95, , , ,
2018-09-17 05:52:59,60.03, , , ,
2018-09-17 05:53:59,60.10, , , ,
2018-09-17 05:54:59,60.18, , , ,
2018-09-17 05:55:59,60.26, , , ,
2018-09-17 05:56:59,60.34, , , ,
2018-09-17 05:57:59,60.41, , , ,
2018-09-17 05:58:59,60.49, , , ,
2018-09-17 05:59:59,60.64, , , ,
2018-09-17 06:00:59,60.80, , , ,
2018-09-17 06:01:59,60.80, , , ,
2018-09-17 06:02:59,60.80, , , ,
2018-09-17 06:03:59,60.88, , , ,
2018-09-17 06:04:59,60.95, , , ,
2018-09-17 06:05:59,60.95, , , ,
2018-09-17 06:06:59,60.95, , , ,
2018-09-17 06:07:59,60.88, , , ,
2018-09-17 06:08:59,60.95, , , ,
2018-09-17 06:09:59,61.03, , , ,
2018-09-17 06:10:59,60.88, , , ,
2018-09-17 06:11:59,60.95, , , ,
2018-09-17 06:12:59,60.95, , , ,
2018-09-17 06:13:59,60.88, , , ,
2018-09-17 06:14:59,60.95, , , ,
2018-09-17 06:15:59,60.95, , , ,
2018-09-17 06:16:59,60.88, , , ,
2018-09-17 06:17:59,60.88, , , ,
2018-09-17 06:18:59,60.72, , , ,
2018-09-17 06:19:59,60.64, , , ,
2018-09-17 06:20:59,60.49, , , ,
2018-09-17 06:21:59,60.49, , , ,
2018-09-17 06:22:59,60.41, , , ,
2018-09-17 06:23:59,60.41, , , ,
2018-09-17 06:24:59,60.34, , , ,
2018-09-17 06:25:59,60.26, , , ,
2018-09-17 06:26:59,60.18, , , ,
2018-09-17 06:27:59,60.10, , , ,
2018-09-17 06:28:59,60.10, , , ,
2018-09-17 06:29:59,60.10, , , ,
2018-09-17 06:30:59,59.95, , , ,
2018-09-17 06:31:59,59.87, , , ,
2018-09-17 06:32:59,59.79, , , ,
2018-09-17 06:33:59,59.72, , , ,
2018-09-17 06:34:59,59.56, , , ,
2018-09-17 06:35:59,59.49, , , ,
2018-09-17 06:36:59,59.49, , , ,
2018-09-17 06:37:59,59.41, , , ,
2018-09-17 06:38:59,59.41, , , ,
2018-09-17 06:39:59,59.33, , , ,
2018-09-17 06:40:59,59.25, , , ,
2018-09-17 06:41:59,59.18, , , ,
2018-09-17 06:42:59,59.10, , , ,
2018-09-17 06:43:59,59.10, , , ,
2018-09-17 06:44:59,58.95, , , ,
2018-09-17 06:45:59,59.02, , , ,
2018-09-17 06:46:59,58.95, , , ,
2018-09-17 06:47:59,58.95, , , ,
2018-09-17 06:48:59,58.87, , , ,
2018-09-17 06:49:59,58.95, , , ,
2018-09-17 06:50:59,58.79, , , ,
2018-09-17 06:51:59,58.79, , , ,
2018-09-17 06:52:59,58.79, , , ,
2018-09-17 06:53:59,58.71, , , ,
2018-09-17 06:54:59,58.64, , , ,
2018-09-17 06:55:59,58.64, , , ,
2018-09-17 06:56:59,58.48, , , ,
2018-09-17 06:57:59,58.48, , , ,
2018-09-17 06:58:59,58.48, , , ,
2018-09-17 06:59:59,58.48, , , ,
2018-09-17 07:00:59,58.40, , , ,
2018-09-17 07:01:59,58.48, , , ,
2018-09-17 07:02:59,58.40, , , ,
2018-09-17 07:03:59,58.48, , , ,
2018-09-17 07:04:59,58.40, , , ,
2018-09-17 07:05:59,58.25, , , ,
2018-09-17 07:06:59,58.25, , , ,
2018-09-17 07:07:59,58.25, , , ,
2018-09-17 07:08:59,58.25, , , ,
2018-09-17 07:09:59,58.10, , , ,
